00079_0	Plain white
14051_7	Repeating-pattern painting
14215_0	Music notes
14215_1	Hands
14215_2	Sea creatures
14215_3	Flowers
14215_4	Stars
14215_5	Hearts
14215_6	Snowflakes
14215_7	Dinosaurs
14346_0	SPECIAL
14346_1	Tableware
14346_2	Café menu
14346_3	WARNING
14346_4	Heart
14346_5	Hand-washing
14346_6	Vintage sign
14475_0	Gold
14475_1	Blue
14475_2	Pink
14525_0	None
14525_1	Natural
14525_2	Cool
14525_3	Cute
14527_0	Resource document
14527_1	Medical questionnaire
14527_2	To-do list
14527_3	Signature practice
14527_4	Menu
14527_5	Name list
14527_6	Memo
14527_7	Sketch
14572_0	None
14572_1	Bicycle sticker
14572_2	Storage label
14572_3	Text label
14572_4	Floral wreath sticker
14572_5	Logo stickers
14572_6	Hot-air-balloon stickers
14572_7	Installation permits
14592_0	None
14592_1	Musical instrument
14592_2	Blue flowers
14592_3	Yellow flowers
14592_4	White flower
14592_5	Red flowers
14592_6	Geometric patterns
14592_7	Bird
14619_0	Plain
14619_1	Seven treasures (Shippou)
14619_2	Arrow fletchings (Yagasuri)
14619_3	Balloon flowers
14619_4	Lucky cats (Maneki-neko)
14619_5	Cranes
14619_6	Wisteria
14619_7	Circle (Ensou)
14620_0	Plain
14620_1	Cherry blossoms
14620_2	Well-frame pattern (Igeta)
14620_3	Bamboo
14620_4	Hemp leaves (Asanoha)
14620_5	Maple leaves
14620_6	Crests
14620_7	Koori (Ice)
14621_0	Plans
14621_1	Route map
14621_2	Chart with sticky notes
14621_3	Presentation document
14621_4	Design sketch
14621_5	Color samples
14621_6	Constellation map
14714_0	None
14714_1	Leaf
14714_2	Heart
14714_3	Bell
