00079_0	Blanco liso
13647_2	Promoción de una actividad
13647_3	Oferta de empleo
13647_4	Publicidad institucional
13647_5	Anuncio antiguo
13647_6	Recogida de basuras
13651_0	Caligrafía
13651_1	Monte
13651_2	Dragón
13651_3	Grullas
13651_4	Cerezo en flor
13651_5	Hojas de arce
13652_0	Mapa del tesoro
13652_1	Rutas mercantiles
13652_2	Mapamundi
13655_0	Flor
13655_1	Vista del océano
13655_2	Ruta de senderismo
13655_3	Atardecer
13655_4	Paisaje urbano
13655_5	Fotografía antigua
13655_6	Grupo
13655_7	Deporte
13656_0	Blanco
13656_1	Amarillo
13656_2	Naranja
13656_3	Rojo
13656_4	Rosa
13656_5	Púrpura
13656_6	Azul
13656_7	Verde
13657_0	Floral
13657_1	Monte
13657_2	Ave
13657_3	Floral monocromo
13657_4	Floral geométrico
13657_5	Floral tonos sepia
13657_6	Granadas
13657_7	Sol y tierra
13680_0	Plateado
13680_1	Negro
13680_2	Marrón claro
13680_3	Marrón
13681_0	Rojo
13681_1	Amarillo
13681_2	Verde
13681_3	Azul marino
13681_4	Naranja
13681_5	Blanco
13681_6	Negro
13681_7	Rojo, blanco y azul
13683_0	Púrpura
13683_1	Azul
13683_2	Rosa
13683_3	Verde
13683_4	Naranja
13683_5	Marrón
13683_6	Blanco
13683_7	Negro
13701_0	Burdeos
13701_1	Verde
13701_2	Amarillo
13701_3	Celeste
13701_4	Blanco
13701_5	Azul marino
13701_6	Negro
13701_7	Lila
13709_0	Ninguno
13709_1	Naranja
13709_2	Negro
13709_3	Amarillo
13709_4	Azul
13709_5	Verde
13727_0	Blanco liso
13727_1	Marrón claro
13727_2	Rojo
13727_3	Verde
13727_4	Marrón oscuro
13727_5	Rosa
13727_6	Amarillo
13727_7	Azul
13730_0	Blanco
13730_1	Gris claro
13730_2	Rosa
13730_3	Celeste
13730_4	Amarillo
13730_5	Verde
13730_6	Naranja
13730_7	Azul marino
13744_0	Flores
13744_1	Tipografía
13744_2	Árboles
13744_3	Dulces
13744_4	Máquina antigua
13744_5	Anuncio
13744_6	Fotografía urbana
13744_7	Animales
13746_0	Blanco liso
13746_1	Negro liso
13746_2	Verde liso
13746_3	Marrón liso
13746_4	Tierra
13746_5	Cal
13746_6	Café en grano
13747_0	En directo
13747_1	Abierto
13747_2	Cerrado
13747_3	Bienvenida
13747_4	VIP
13747_5	Peligro
13747_6	Shiyouchu (ocupado)
13747_7	Sagyouchu (trabajando)
13751_0	Bosque
13751_1	Playa
13751_2	Prado
13751_3	Tren
13751_4	Calle
13756_0	Sin logo
13756_1	Logo azul
13756_2	Logo blanco
13756_3	Naranja
13756_4	Manzana
13756_5	Melocotón
13756_6	Pera
13756_7	Cereza
13764_0	Blanco
13764_1	Amarillo
13764_2	Naranja
13764_3	Rojo
13764_4	Rosa
13764_5	Púrpura
13764_6	Azul
13764_7	Verde
13925_0	Presentación
13925_1	Videoconferencia
13925_2	Mercado de divisas
13925_3	Videovigilancia
13925_4	Previsión del tiempo
13925_5	Tablas y gráficos
13925_6	Retransmisión deportiva
13925_7	Pantalla de error
13926_0	Predeterminado
13926_1	↑
13926_2	→
13926_3	←
13926_4	Prohibido el paso
13926_5	Cafetería
13926_6	Equipajes
13926_7	Aparcamiento
14049_0	Ninguno
14049_1	Nombre de la empresa
14049_2	Camión frigorífico
14049_3	Empresa de mudanzas
14049_4	Transporte de pescado
14049_5	Frutas y verduras
14051_0	Naturaleza muerta
14051_1	Retrato clásico
14051_2	Litografía
14051_3	Medieval
14051_4	Paisaje al óleo
14051_5	Atardecer en acrílico
14051_6	Abstracto
14051_7	Tapiz
14215_0	Notas musicales
14215_1	Manos
14215_2	Fondo marino
14215_3	Flores
14215_4	Estrellas
14215_5	Corazones
14215_6	Copos de nieve
14215_7	Animales prehistóricos
14346_0	Oferta especial
14346_1	Comida para llevar
14346_2	Carta de bebidas
14346_3	Advertencia
14346_4	Corazón
14346_5	Higiene
14346_6	Anuncio antiguo
14475_0	Dorado
14475_1	Azul
14475_2	Rosa
14525_0	Ninguno
14525_1	Natural
14525_2	Moderno
14525_3	Dulce
14527_0	Informe
14527_1	Cuestionario médico
14527_2	Lista de tareas pendientes
14527_3	Práctica de autógrafo
14527_4	Menú
14527_5	Lista de participantes
14527_6	Apuntes
14527_7	Bosquejo
14572_0	Ninguna
14572_1	Ciclismo
14572_2	Horticultura
14572_3	Texto
14572_4	Jardinería
14572_5	Varios
14572_6	Ocio y tiempo libre
14572_7	Permiso de instalación
14592_0	Ninguno
14592_1	Instrumento musical
14592_2	Flores azules
14592_3	Flores amarillas
14592_4	Flor blanca
14592_5	Flores rojas
14592_6	Taracea
14592_7	Pájaro al vuelo
14619_0	Liso
14619_1	Siete tesoros (shippou)
14619_2	Flechas (yagasuri)
14619_3	Campanillas chinas
14619_4	Gatos de la suerte
14619_5	Grullas
14619_6	Glicinia
14619_7	Círculo zen (ensō)
14620_0	Liso
14620_1	Cerezo en flor
14620_2	Pozo (igeta)
14620_3	Bambú
14620_4	Hojas de cáñamo (asanoha)
14620_5	Hojas de arce
14620_6	Emblemas
14620_7	Hielo (koori)
14621_0	Planos
14621_1	Mapa de transporte
14621_2	Tabla con notas adhesivas
14621_3	Presentación
14621_4	Esbozo
14621_5	Muestras de color
14621_6	Carta estelar
14714_0	Ninguno
14714_1	Hoja
14714_2	Corazón
14714_3	Baya
