00079_0	无图案白色
14346_1	料理板
14346_2	咖啡菜单
14346_3	危险
14346_4	爱心
14346_5	洗手间
14346_6	怀旧招牌
14475_0	金色
14475_1	蓝色
14475_2	粉红
14525_0	无
14525_1	自然
14525_2	酷感
14525_3	可爱
14527_0	图表资料
14527_1	问诊单
14527_2	代办清单
14527_3	签名练习
14527_4	菜单
14527_5	名单
14527_6	笔记
14527_7	草图
14572_0	无
14572_1	自行车贴纸
14572_2	收纳品标签
14572_3	信息贴纸
14572_4	花环贴纸
14572_5	Logo贴纸
14572_6	气球贴纸
14572_7	设置许可证
14592_0	无
14592_1	乐器
14592_2	蓝色花
14592_3	黄色花
14592_4	白色花
14592_5	红色花
14592_6	几何学图形
14592_7	小鸟
14619_0	无图案
14619_1	七宝纹
14619_2	箭羽纹
14619_3	桔梗
14619_4	招财猫
14619_5	鹤
14619_6	紫藤
14619_7	圆相
14620_0	无图案
14620_1	樱
14620_2	井字图案
14620_3	竹
14620_4	麻叶
14620_5	枫叶
14620_6	家徽
14620_7	冰
14621_0	设计图
14621_1	路线图
14621_2	带有便利贴的资料
14621_3	简报资料
14621_4	设计草图
14621_5	色彩样本
14621_6	天球图
14714_0	无
14714_1	叶子
14714_2	爱心
14714_3	铃钱
