00079_0	白色花紋
13926_2	→
13926_3	←
13926_4	禁止進入
13926_5	咖啡
13926_6	包包
13926_7	車子
14049_0	無
14049_1	企業名
14049_2	低溫運送
14049_3	搬家公司
14049_4	水產批發
14049_5	蔬菜批發
14051_0	靜物畫
14051_1	肖像畫
14051_2	人物畫
14051_3	故事
14051_4	油彩風景畫
14051_5	丙烯風景畫
14051_6	抽象畫
14051_7	禪繞畫
14215_0	音符
14215_1	手
14215_2	海洋生物
14215_3	花
14215_4	星星
14215_5	愛心
14215_6	雪花
14215_7	恐龍
14346_0	SPECIAL
14346_1	料理板
14346_2	咖啡菜單
14346_3	危險
14346_4	愛心
14346_5	洗手間
14346_6	懷舊招牌
14475_0	金色
14475_1	藍色
14475_2	粉紅色
14525_0	無
14525_1	自然
14525_2	酷感
14525_3	可愛
14527_0	圖表資料
14527_1	問診單
14527_2	待辦清單
14527_3	簽名練習
14527_4	菜單
14527_5	名單
14527_6	筆記
14527_7	草圖
14572_0	無
14572_1	單車貼紙
14572_2	收納品標籤
14572_3	訊息貼紙
14572_4	花圈貼紙
14572_5	Logo貼紙
14572_6	氣球貼紙
14572_7	設置許可證
14592_0	無
14592_1	樂器
14592_2	藍色花
14592_3	黃色花
14592_4	白色花
14592_5	紅色花
14592_6	幾何學圖形
14592_7	小鳥
14619_0	無圖案
14619_1	七寶紋
14619_2	箭羽紋
14619_3	桔梗
14619_4	招財貓
14619_5	鶴
14619_6	藤
14619_7	圓相
14620_0	無圖案
14620_1	櫻
14620_2	井字圖案
14620_3	竹
14620_4	麻葉
14620_5	楓葉
14620_6	家徽
14620_7	冰
14621_0	設計圖
14621_1	路線圖
14621_2	貼著便利貼的資料
14621_3	簡報資料
14621_4	設計草圖
14621_5	色彩樣本
14621_6	天體圖
14714_0	無
14714_1	葉子
14714_2	愛心
14714_3	鈴錢
