00079_0	Blanc uni
13657_3	Motif floral monochrome
13657_4	Motif floral coloré
13657_5	Motif floral sépia
13657_6	Grenades
13657_7	Veld
13680_0	Argent
13680_1	Noir
13680_2	Marron clair
13680_3	Brun
13681_0	Rouge
13681_1	Jaune
13681_2	Vert
13681_3	Bleu marine
13681_4	Orange
13681_5	Blanc
13681_6	Noir
13681_7	Bleu, blanc, rouge
13683_0	Violet
13683_1	Bleu
13683_2	Rose
13683_3	Vert
13683_4	Orange
13683_5	Brun
13683_6	Blanc
13683_7	Noir
13701_0	Bordeaux
13701_1	Vert
13701_2	Jaune
13701_3	Bleu ciel
13701_4	Blanc
13701_5	Bleu marine
13701_6	Noir
13701_7	Violet
13709_0	Sans
13709_1	Orange
13709_2	Noir
13709_3	Jaune
13709_4	Bleu
13709_5	Vert
13727_0	Blanc uni
13727_1	Marron clair
13727_2	Rouge
13727_3	Vert
13727_4	Brun foncé
13727_5	Rose
13727_6	Jaune
13727_7	Bleu
13730_0	Blanc
13730_1	Gris clair
13730_2	Rose
13730_3	Bleu clair
13730_4	Jaune
13730_5	Vert
13730_6	Orange
13730_7	Bleu foncé
13744_0	Fleurs
13744_1	Typographie
13744_2	Arbres
13744_3	Pancakes
13744_4	Rétro
13744_5	Publicité
13744_6	Photo
13744_7	Oiseaux
13746_0	Uni blanc
13746_1	Uni noir
13746_2	Uni vert
13746_3	Uni brun clair
13746_4	Terreau
13746_5	Chaux
13746_6	Fèves
13747_0	« À L'ANTENNE »
13747_1	« OUVERT »
13747_2	« FERMÉ »
13747_3	« BIENVENUE »
13747_4	« VIP »
13747_5	« DANGER »
13747_6	Occupé
13747_7	Travaux
13751_0	Forêt
13751_1	Bord de mer
13751_2	Fleurs
13751_3	Train
13751_4	Noir et blanc
13756_0	Basique
13756_1	Logo bleu
13756_2	Logo blanc
13756_3	Orange
13756_4	Pomme
13756_5	Pêche
13756_6	Poire
13756_7	Cerise
13764_0	Blanc
13764_1	Jaune
13764_2	Orange
13764_3	Rouge
13764_4	Rose
13764_5	Violet
13764_6	Bleu
13764_7	Vert
13925_0	Présentation
13925_1	Réunion vidéo
13925_2	Cours des monnaies
13925_3	Vidéo de surveillance
13925_4	Prévisions météo
13925_5	Données d'opération
13925_6	Retransmission sportive
13925_7	Écran bleu
13926_0	Par défaut
13926_1	↑
13926_2	→
13926_3	←
13926_4	Sens interdit
13926_5	Café
13926_6	Valise
13926_7	Voiture
14049_0	Pas de logo
14049_1	Nom de l'entreprise
14049_2	Camion réfrigéré
14049_3	Déménagement
14049_4	Fruits de mer
14049_5	Produits de la ferme
14051_0	Nature morte
14051_1	Portrait classique
14051_2	Portrait art nouveau
14051_3	Enluminures
14051_4	Paysage à l'huile
14051_5	Paysage acrylique
14051_6	Peinture abstraite
14051_7	Sérigraphie
14215_0	Notes de musique
14215_1	Mains
14215_2	Animaux marins
14215_3	Fleurs
14215_4	Étoiles
14215_5	Cœurs
14215_6	Flocons de neige
14215_7	Dinosaures
14346_0	Offre spéciale
14346_1	Couverts
14346_2	Menu de café
14346_3	Avertissement
14346_4	Cœur
14346_5	Lavage de mains
14346_6	Pancarte rétro
14475_0	Or
14475_1	Bleu
14475_2	Rose
14525_0	Sans
14525_1	Nature
14525_2	Cool
14525_3	Enfantine
14527_0	Ressources
14527_1	Formulaire médical
14527_2	Liste de tâches
14527_3	Essais de signature
14527_4	Menu
14527_5	Liste de noms
14527_6	Pense-bête
14527_7	Zigouigoui
14572_0	Sans
14572_1	Autocollant de vélo
14572_2	Étiquette de rangement
14572_3	Texte autocollant
14572_4	Couronne de fleurs
14572_5	Autocollants de logos
14572_6	Montgolfières
14572_7	Permis de construire
14592_0	Sans
14592_1	Instrument de musique
14592_2	Fleurs bleues
14592_3	Fleurs jaunes
14592_4	Fleur blanche
14592_5	Fleurs rouges
14592_6	Formes géométriques
14592_7	Oiseau
14619_0	Simple
14619_1	Shippô (sept trésors)
14619_2	Yagasuri (empennages)
14619_3	Campanules
14619_4	Maneki-neko
14619_5	Grues
14619_6	Glycine
14619_7	Ensô (cercle)
14620_0	Simple
14620_1	Fleurs de cerisier
14620_2	Motif « Igeta »
14620_3	Bambou
14620_4	Motif « Asanoha »
14620_5	Feuilles d'érable
14620_6	Emblèmes
14620_7	Motif « Koori »
14621_0	Plans
14621_1	Plan de métro
14621_2	Pense-bêtes
14621_3	Présentation
14621_4	Esquisse
14621_5	Échantillons de couleurs
14621_6	Carte du ciel
14714_0	Sans
14714_1	Feuille
14714_2	Cœur
14714_3	Clochette
